# gen         minFit        maxFit        meanFit       sdFit         
1             6.67419e-17   1.2287        0.206543      0.320059      
2             8.69565e-11   3.55975       0.514352      0.729856      
3             6.53901e-10   93.2315       2.78349       12.9726       
4             0.000380114   406.5         69.8554       113.657       
5             5.83185e-06   453.645       237.122       152.241       
6             5.68341e-10   470.177       286.977       166.843       
7             3.27215e-18   488.251       357.396       150.052       
8             0.524644      495.206       382.779       151.677       
9             0.620412      496.16        440.582       105.027       
10            0.0750226     494.735       389.562       162.258       
11            180.503       499.719       470.318       55.4223       
12            421.255       498.05        487.669       12.3872       
13            0.744043      497.588       466.146       97.0895       
14            0.0137821     496.908       473.266       71.7132       
15            322.713       498.276       484.607       25.6398       
16            0.589071      498.717       466.613       89.8808       
17            0.802347      498.66        479.368       69.3814       
18            412.165       499.524       489.743       12.8856       
19            0.727834      497.91        482.266       68.9844       
20            0.574858      498.53        470.422       96.8592       
21            3.29873       499.254       477.974       71.2842       
22            0.793552      498.421       480.726       70.0352       
23            0.851847      498.822       480.589       69.7724       
24            0.618165      497.591       480.941       69.6393       
25            0.684235      499.348       484.083       69.1738       
26            470.149       498.228       492.254       4.36068       
27            465.466       498.944       493.069       5.0466        
28            468.167       499.154       492.248       5.79857       
29            0.537651      499.211       483.373       69.1503       
30            467.494       498.906       491.899       6.9934        
31            0.564019      498.714       484.272       69.2269       
32            18.9356       499.004       483.287       66.5024       
33            0.899922      498.252       483.424       69.1436       
34            474.733       498.832       493.932       4.2279        
35            0.761244      498.703       474.916       96.7817       
36            0.570868      498.435       464.163       116.688       
37            481.828       498.472       493.881       3.07596       
38            464.106       499.08        492.968       5.71441       
39            425.798       498.553       491.566       11.2637       
40            0.0419424     499.063       482.549       69.4419       
41            0.209359      499.15        474.046       96.7477       
42            0.874892      498.531       483.726       69.081        
43            454.937       498.859       493.468       6.65611       
44            454.501       498.584       493.169       8.06761       
45            0.618584      499.127       470.257       97.7033       
46            489.478       499.277       494.833       2.36754       
47            481.517       498.411       493.94        3.03922       
48            0.557244      499.126       474.94        96.8485       
49            487.873       499.177       494.733       2.46706       
50            466.279       499.385       494.345       4.8993        
51            4.92223       498.596       484.308       68.7209       
52            0.583198      499.26        445.333       148.083       
53            1.25603       498.821       484.464       69.1063       
54            0.602218      498.537       484.157       69.1192       
55            486.566       499.095       494.575       3.20381       
56            487.248       499.398       494.866       2.9119        
57            487.834       498.738       494.941       2.62712       
58            488.245       498.23        494.606       2.16089       
59            1.07148       499.016       484.124       69.1122       
60            0.902962      499.219       475.095       96.1195       
61            485.732       498.912       494.558       3.0246        
62            478.793       499.154       494.996       3.53486       
63            0.547871      498.805       475.779       96.8314       
64            1.32333       499.388       475.431       96.6542       
65            0.571752      499.187       485.003       69.3055       
66            479.302       499.313       494.887       3.19317       
67            0.584034      499.655       475.171       96.8435       
68            0.613828      499.682       475.655       96.9566       
69            0.534551      499.552       485.66        69.3632       
70            489.105       498.181       495.266       1.84163       
71            0.539976      498.863       484.466       69.1642       
72            482.782       499.423       494.384       3.09962       
73            0.584458      497.964       484.508       69.1844       
74            1.25747       499.147       484.299       69.0884       
75            1.02732       499.828       475.262       96.718        
76            3.91893       498.079       484.25        68.679        
77            2.54977       499.32        484.864       68.9544       
78            1.20195       499.286       484.466       69.1604       
79            0.591219      499.459       483.934       69.1773       
80            471.521       499.241       494.752       4.02729       
81            0.580739      498.958       470.839       98.0269       
82            0.650381      499.446       461.852       116.745       
83            0.585018      499.714       473.22        97.1129       
84            4.58754       499.272       483.861       69.48         
85            9.63177       498.863       482.2         68.8803       
86            114.421       498.861       483.397       54.9807       
87            0.529555      499.255       465.394       106.329       
88            0.210433      498.576       453.48        133.752       
89            0.859608      499.685       483.609       69.7202       
90            0.612695      498.695       455.722       134.14        
91            0.537528      498.362       485.574       69.3263       
92            1.089         498.765       485.391       69.2343       
93            0.549865      498.767       474.933       96.8707       
94            0.891575      498.857       465.83        116.557       
95            4.13543       498.771       485.095       68.7812       
96            0.856768      499.312       475.58        96.8398       
97            3.00119       498.703       485.19        68.9211       
98            0.580566      499.341       465.487       117.383       
99            1.64427       499.287       485.515       69.1691       
100           12.2694       498.331       485.254       67.6111       
