# RNG_SEED = 1296062363
# FITNESS = 99.9998
# 
# INPUT_SIZE     = 2
# HIDDEN_SIZE    = 5
# OUTPUT_SIZE    = 1
# ELITISM        = 0.2
# CROSSOVER_PROB = 0.4
# MUTATION_PROB  = 0.9
# MUTATION_RATE  = 0.0666667
# MUTATION_SIZE  = 5
# NUM_RUNS       = 3
# BANG_SIZE      = 1
# MAX_EVAL_TIME  = 100
# SCORE_ANG      = 0.1309
# 
# digraph brain {
#   splines=false; nodesep=1; ranksep="1.5 equally"; rankdir=LR;
#   I0 -> H0 [headlabel=0.49,color="#1f77b4",fontcolor="#1f77b4",fontsize=10,labeldistance=3];
#   I0 -> H1 [headlabel=-8.48,color="#1f77b4",fontcolor="#1f77b4",fontsize=10,labeldistance=3];
#   I0 -> H2 [headlabel=14.5,color="#1f77b4",fontcolor="#1f77b4",fontsize=10,labeldistance=3];
#   I0 -> H3 [headlabel=-17,color="#1f77b4",fontcolor="#1f77b4",fontsize=10,labeldistance=3];
#   I0 -> H4 [headlabel=-6.27,color="#1f77b4",fontcolor="#1f77b4",fontsize=10,labeldistance=3];
#   I1 -> H0 [headlabel=-2.28,color="#ff7f0e",fontcolor="#ff7f0e",fontsize=10,labeldistance=3];
#   I1 -> H1 [headlabel=6.88,color="#ff7f0e",fontcolor="#ff7f0e",fontsize=10,labeldistance=3];
#   I1 -> H2 [headlabel=8.37,color="#ff7f0e",fontcolor="#ff7f0e",fontsize=10,labeldistance=3];
#   I1 -> H3 [headlabel=-2.53,color="#ff7f0e",fontcolor="#ff7f0e",fontsize=10,labeldistance=3];
#   I1 -> H4 [headlabel=0.911,color="#ff7f0e",fontcolor="#ff7f0e",fontsize=10,labeldistance=3];
#   H0 -> O0 [headlabel=-5.04,color="#1f77b4",fontcolor="#1f77b4",fontsize=10,labeldistance=3];
#   H1 -> O0 [headlabel=-3.45,color="#ff7f0e",fontcolor="#ff7f0e",fontsize=10,labeldistance=3];
#   H2 -> O0 [headlabel=-14.5,color="#2ca02c",fontcolor="#2ca02c",fontsize=10,labeldistance=3];
#   H3 -> O0 [headlabel=-0.992,color="#d62728",fontcolor="#d62728",fontsize=10,labeldistance=3];
#   H4 -> O0 [headlabel=6.63,color="#9467bd",fontcolor="#9467bd",fontsize=10,labeldistance=3];
#   { rank=same; I0 I1 }
#   { rank=same; H0 H1 H2 H3 H4 }
#   { rank=same; O0 }
# }
# t	theta	thetadot	torque	fitness
0.01	0.0897	-0.00121	-1	0
0.02	0.0897	-0.00242	-1	0.00992
0.03	0.0897	-0.00363	-1	0.0198
0.04	0.0896	-0.00485	-1	0.0298
0.05	0.0896	-0.00607	-1	0.0397
0.06	0.0895	-0.0073	-1	0.0496
0.07	0.0894	-0.00853	-1	0.0595
0.08	0.0893	-0.00978	-1	0.0694
0.09	0.0892	-0.011	-1	0.0794
0.1	0.0891	-0.0123	-1	0.0893
0.11	0.089	-0.0136	-1	0.0992
0.12	0.0888	-0.0149	-1	0.109
0.13	0.0887	-0.0162	-1	0.119
0.14	0.0885	-0.0175	-1	0.129
0.15	0.0883	-0.0188	-1	0.139
0.16	0.0881	-0.0202	-1	0.149
0.17	0.0879	-0.0215	-1	0.159
0.18	0.0877	-0.0229	-1	0.169
0.19	0.0875	-0.0244	-1	0.179
0.2	0.0872	-0.0258	-1	0.189
0.21	0.087	-0.0273	-1	0.198
0.22	0.0867	-0.0288	-1	0.208
0.23	0.0864	-0.0303	-1	0.218
0.24	0.0861	-0.0318	-1	0.228
0.25	0.0858	-0.0334	-1	0.238
0.26	0.0854	-0.035	-1	0.248
0.27	0.0851	-0.0367	-1	0.258
0.28	0.0847	-0.0384	-1	0.268
0.29	0.0843	-0.0401	-1	0.278
0.3	0.0839	-0.0418	-1	0.288
0.31	0.0835	-0.0436	-1	0.298
0.32	0.083	-0.0455	-1	0.308
0.33	0.0825	-0.0474	-1	0.318
0.34	0.0821	-0.0493	-1	0.327
0.35	0.0816	-0.0513	-1	0.337
0.36	0.081	-0.0533	-1	0.347
0.37	0.0805	-0.0554	-1	0.357
0.38	0.0799	-0.0576	-1	0.367
0.39	0.0793	-0.0597	-1	0.377
0.4	0.0787	-0.062	-1	0.387
0.41	0.0781	-0.0643	-1	0.397
0.42	0.0774	-0.0667	-1	0.407
0.43	0.0768	-0.0691	-1	0.417
0.44	0.0761	-0.0717	-1	0.427
0.45	0.0753	-0.0742	-1	0.437
0.46	0.0746	-0.0769	-1	0.447
0.47	0.0738	-0.0796	-1	0.457
0.48	0.073	-0.0824	-1	0.467
0.49	0.0721	-0.0853	-1	0.477
0.5	0.0713	-0.0883	-1	0.487
0.51	0.0704	-0.0913	-1	0.496
0.52	0.0694	-0.0945	-1	0.506
0.53	0.0685	-0.0977	-1	0.516
0.54	0.0675	-0.101	-1	0.526
0.55	0.0665	-0.104	-1	0.536
0.56	0.0654	-0.108	-1	0.546
