# gen         minFit        maxFit        meanFit       sdFit         
1             1.31838e-13   2.05296       0.353135      0.522784      
2             2.35871e-17   143.174       3.17458       20.009        
3             3.81431e-11   276.582       85.793        77.0055       
4             2.24446e-09   365.862       146.973       75.2291       
5             0.000545188   370.473       154.192       108.144       
6             0.558513      381.661       201.783       119.205       
7             0.571645      397.494       285.171       107.565       
8             0.599346      436.301       319.29        126.155       
9             0.775313      449.842       307.961       136.758       
10            1.39188       460.229       346.356       135.061       
11            1.21308       475.616       375.785       119.938       
12            0.985044      475.115       378.6         106.271       
13            0.626781      475.693       404.675       108.37        
14            4.75347e-13   480.203       382.004       154.222       
15            104.879       480.007       440.984       72.7937       
16            0.561291      485.889       430.602       119.448       
17            6.23427e-17   491.146       451.982       93.0866       
18            0.886666      492.809       454.725       94.5575       
19            0.613692      497.262       448.322       114.559       
20            5.6142        496.948       472.271       67.5647       
21            0.622758      495.749       447.422       109.261       
22            0.569992      498.781       456.352       116.133       
23            0.00553516    497.868       479.125       69.1408       
24            452.947       496.568       489.414       9.16639       
25            443.24        497.849       488.97        10.5187       
26            0.54296       498.567       473.428       96.0061       
27            1.0082        498.531       483.321       68.9665       
28            0.696665      498.226       483.745       69.0863       
29            484.593       497.934       493.841       2.79772       
30            489.001       497.971       494.279       2.26751       
31            486.858       498.229       493.95        3.02204       
32            486.636       498.688       494.467       2.46007       
33            2.77047       499.213       484.406       68.9614       
34            486.208       498.041       494.113       2.7046        
35            486.534       498.711       494.57        2.3696        
36            485.408       497.964       493.928       2.63217       
37            481.482       499.28        494.627       3.35115       
38            483.303       498.97        494.674       2.88237       
39            486.644       499.359       494.128       2.95818       
40            487.963       499.545       494.237       2.55133       
41            0.550608      498.427       484.363       69.1661       
42            486.092       497.865       494.614       2.6812        
43            488.308       499.851       494.459       2.72011       
44            321.418       499.295       491.627       24.4296       
45            164.96        499.573       484.166       51.0819       
46            166.067       498.479       488.044       46.049        
47            0.832449      499.144       484.292       69.125        
48            1.54829e-11   498.998       482.501       70.7335       
49            1.30696       498.718       482.559       70.474        
50            488.97        499.092       494.903       2.52396       
51            1.491         498.712       484.379       69.0367       
52            0.550398      498.401       484.877       69.2562       
53            2.75402       498.438       483.824       68.8212       
54            0.69541       498.992       484.635       69.1995       
55            488.487       499.103       494.911       2.34615       
56            486.79        499.543       495.432       2.61143       
57            0.633645      499.462       484.635       69.1999       
58            487.495       498.884       495.183       2.40771       
59            0.957776      498.354       485.204       69.2134       
60            481.62        498.331       494.925       2.71383       
61            0.788084      499.055       475.11        96.8429       
62            487.705       499.383       495.174       2.5144        
63            0.758765      499.383       485.066       69.222        
64            0.638967      498.914       485.588       69.3048       
65            468.258       498.568       494.769       4.42701       
66            0.716315      498.717       478.867       82.285        
67            490.08        498.631       495.557       1.98125       
68            0.644778      499.561       475.697       96.9888       
69            0.538036      499.165       483.67        70.329        
70            0.561433      499.299       485.03        69.2524       
71            487.085       499.1         495.088       2.61486       
72            489.377       498.742       495.64        2.31511       
73            489.021       498.191       495.314       2.35267       
74            468.312       499.894       495.235       4.3699        
75            0.539069      499.861       466.001       117.542       
76            488.033       498.51        494.919       2.16007       
77            166.077       498.8         488.895       46.1767       
78            488.734       499.242       495.387       2.48035       
79            0.851         498.44        485.152       69.2251       
80            489.046       499.317       495.807       2.28437       
81            488.496       498.878       495.175       2.34343       
82            488.082       498.51        495.159       1.91044       
83            0.624503      498.444       476.024       97.0442       
84            490.143       499.345       495.169       2.30844       
85            1.3784        499.12        485.3         69.1823       
86            0.529929      498.513       465.442       117.455       
87            0.868589      499.785       485.555       69.2778       
88            485.581       499.319       494.991       2.90138       
89            484.747       498.708       494.81        2.84776       
90            487.204       499.243       495.174       2.51027       
91            490.275       498.554       495.322       1.73426       
92            485.925       498.735       495.439       2.15249       
93            0.594516      499.084       485.725       69.3395       
94            490.841       499.721       496.017       1.9576        
95            490.137       498.757       495.182       2.18914       
96            485.535       498.904       494.619       2.92506       
97            1.71289       498.895       485.283       69.128        
98            0.555747      499.285       484.949       69.2408       
99            484.826       499.241       494.462       3.66118       
100           488.362       498.657       495.205       2.26233       
