# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	T	V	drive_imp	wheel_imp
0.02	0.0306027	-1.38659e-05	0.0306036	-5.3256e-07	-0.000693295	1.53018	0.00227051	9.21011	2945.92	5.59404	-7.61625
0.04	0.0246531	0.000966728	0.0305958	-0.356974	0.0490297	-0.000389572	-0.134405	9.74713	2947.76	-0.634501	-7.99971
0.06	0.0194824	0.00298875	0.0305978	-0.310245	0.101101	9.74163e-05	-0.277275	9.2561	2949.27	-0.93844	-7.99943
0.08	-0.0457878	0.00605854	0.0305939	-0.243886	0.15349	-0.000194833	-0.421064	11.0212	2950.45	-1.66798	-7.99724
0.1	-0.0479606	0.0101799	0.0305724	-0.130355	0.20607	-0.00107214	-0.565214	14.8603	2951.35	-3.32766	-7.78754
0.12	-0.0464524	0.0153285	0.0305549	0.0905184	0.25743	-0.000877678	-0.710525	21.0769	2951.5	5.60153	7.9843
0.14	-0.0510804	0.0194769	0.0304767	-0.277627	0.20742	-0.00390708	-0.573909	15.2765	2951.24	-1.94987	-7.99373
0.16	-0.0533856	0.0247403	0.0304943	-0.138227	0.263167	0.000879914	-0.71588	21.6348	2951.73	-4.38083	-5.81937
0.18	0.0103321	0.0307779	0.03059	0.150778	0.301882	0.00478206	-0.829017	27.982	2952	5.72464	7.99582
0.2	-0.0547499	0.0358442	0.0305744	-0.232595	0.253313	-0.000779703	-0.685261	20.483	2952.1	-3.24036	-7.86619
0.22	-0.0549019	0.0419953	0.0305861	-0.00910194	0.307554	0.000584871	-0.838017	28.3769	2952.15	-4.02458	7.7166
0.24	0.0105991	0.0472036	0.0304806	0.257702	0.260416	-0.00527157	-0.705597	21.2001	2952.03	1.96764	7.9996
0.26	0.0127215	0.0514305	0.0303886	0.127242	0.211347	-0.00460306	-0.570843	13.4541	2951.82	5.52952	7.99367
0.28	0.00895211	0.0546979	0.0305958	-0.226207	0.163366	0.0103618	-0.435465	9.08943	2951.52	-3.02932	-7.95658
0.3	0.00854743	0.0590792	0.0305861	-0.0242863	0.219066	-0.000487175	-0.585853	14.1275	2951.19	-2.92243	6.32344
0.32	0.0113795	0.0627221	0.0304082	0.16987	0.182146	-0.00889413	-0.481236	9.96314	2950.88	3.90386	7.99828
0.34	0.00991982	0.065433	0.0304943	-0.0876318	0.135544	0.0043069	-0.351937	5.45792	2950.74	-3.70125	-4.95897
0.36	0.0125326	0.0688776	0.0303179	0.156679	0.172233	-0.00882261	-0.447975	8.74385	2950.35	4.18771	7.99792
0.38	0.010536	0.0714099	0.0304533	-0.119867	0.126613	0.00676857	-0.318022	4.84854	2950.08	-4.20444	-6.32907
0.4	0.0131381	0.0748982	0.0302707	0.156019	0.174414	-0.00912994	-0.44241	8.7439	2949.77	4.19056	7.99823
0.42	0.0111409	0.0774608	0.0304258	-0.119912	0.128134	0.00775903	-0.318804	4.93351	2949.36	-4.41419	-5.39994
0.44	0.0139717	0.0808816	0.0302036	0.169725	0.17104	-0.0111107	-0.427105	8.44317	2948.82	3.39165	7.99889
0.46	0.0130311	0.0834264	0.0303297	-0.0565429	0.12724	0.00630282	-0.306767	4.4555	2948.47	-3.1051	0.95204
0.48	0.0155219	0.0860241	0.0301424	0.149341	0.129884	-0.00936519	-0.301461	4.67449	2948.12	3.05824	7.99834
0.5	0.0146067	0.0877356	0.0302746	-0.0549882	0.0855748	0.0066109	-0.185314	2.02762	2947.76	-1.705	-3.46582
0.52	0.0156013	0.0900732	0.0302431	0.059588	0.116877	-0.00157608	-0.263537	3.53037	2947.42	5.17014	7.97979
0.54	-0.0502271	0.0915328	0.0305119	-0.277401	0.0729833	0.0134426	-0.149956	3.27069	2947.07	-2.47259	-7.99097
0.56	-0.0519218	0.0941811	0.0304963	-0.101656	0.132413	-0.000781659	-0.303924	4.96289	2946.59	-4.87932	1.73744
0.58	0.0128768	0.0967346	0.0303238	0.215568	0.127677	-0.00862544	-0.292773	4.92244	2946.12	0.975383	7.99949
0.6	0.0152415	0.0984561	0.0301087	0.141821	0.0860739	-0.0107524	-0.159718	2.13738	2945.88	2.06806	7.99821
0.62	0.0152982	0.0993095	0.0301206	0.0033816	0.0426698	0.000593904	-0.0379398	0.761562	2945.8	3.85998	5.77177
0.64	0.0111882	0.0996009	0.0305178	-0.246582	0.0145704	0.0198587	0.0504688	2.18519	2945.81	-2.83594	-7.98974
0.66	0.0102592	0.101041	0.0305393	-0.0557476	0.0719871	0.001074	-0.107727	1.66635	2945.5	-2.25656	-1.15068
0.68	0.0117898	0.102797	0.0303336	0.0918104	0.0878297	-0.0102828	-0.141678	2.15053	2945.19	4.01248	7.99519
0.7	-0.0522273	0.103668	0.03059	-0.168705	0.0435423	0.0128184	-0.0234041	1.8525	2945.03	-4.30619	-7.64174
0.72	0.0108727	0.105678	0.030367	0.113659	0.100503	-0.0111488	-0.168922	2.86868	2944.59	3.39461	7.99777
0.74	0.00900755	0.106835	0.0305646	-0.111917	0.0578549	0.00988152	-0.0470849	1.83699	2944.34	-4.54639	-4.05695
0.76	0.0121234	0.108654	0.0302115	0.186919	0.0909269	-0.0176557	-0.135537	2.95146	2943.9	0.897825	7.99933
0.78	0.0141337	0.109638	0.0300215	0.120617	0.0492115	-0.00950126	-0.00951586	1.6816	2943.71	1.60419	7.99758
0.8	0.0143281	0.109769	0.0300394	0.0117264	0.00654422	0.000893231	0.111124	1.77591	2943.74	3.32425	7.43938
