# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	T	V	drive_imp	wheel_imp
0.02	0.0306027	-1.38659e-05	0.0306036	-5.3256e-07	-0.000693295	1.53018	0.00227051	9.21011	2945.92	5.78596	-7.7764
0.04	0.024446	0.000987648	0.0305939	-0.369398	0.0500757	-0.000486989	-0.137278	9.95984	2947.76	-5.90755	-4.99713
0.06	0.0247579	0.00264299	0.0306036	0.0187116	0.082767	0.000486989	-0.227023	6.25043	2949.25	5.73558	-7.42632
0.08	0.0187945	0.00526662	0.0306036	-0.357804	0.131182	0	-0.359791	10.4395	2950.46	-5.9094	-4.81368
0.1	-0.0419037	0.00852052	0.0305861	0.0304312	0.162695	-0.000876747	-0.446025	9.67687	2951.4	5.59726	-6.79887
0.12	-0.0475223	0.0126838	0.030551	-0.33709	0.208166	-0.00175517	-0.57053	16.2533	2951.64	-5.91205	-4.3448
0.14	-0.0466566	0.0174594	0.0305646	0.0519692	0.238777	0.000682753	-0.656767	17.8224	2951.59	5.53813	-5.03694
0.16	0.00941896	0.0229589	0.0305607	-0.307786	0.274976	-0.000195019	-0.742932	24.8998	2952.12	-5.91636	-3.37104
0.18	0.0107728	0.0289169	0.0305685	0.0811966	0.297901	0.000390038	-0.812775	27.0407	2952.56	5.59367	-1.8337
0.2	-0.055013	0.0351317	0.0305041	-0.27479	0.310741	-0.00322117	-0.858817	30.9701	2952.53	-5.92129	-1.86254
0.22	0.00809769	0.0416647	0.0305158	0.114322	0.326648	0.000586174	-0.896151	32.3273	2952.45	5.68817	0.660055
0.24	-0.057373	0.0482156	0.0305432	-0.255928	0.327544	0.0013669	-0.877646	33.3146	2952.01	-5.92725	-0.18059
0.26	0.00601792	0.0548565	0.0305334	0.131128	0.332043	-0.000488013	-0.895336	33.0434	2951.55	5.69944	2.18902
0.28	-0.0591803	0.0612854	0.0304219	-0.239521	0.321445	-0.00557462	-0.867864	32.0386	2950.91	-5.93177	1.45673
0.3	-0.0566793	0.0676111	0.0305666	0.150154	0.316286	0.00723321	-0.849435	29.9847	2950.22	5.75679	2.90479
0.32	-0.0604807	0.0736538	0.0303218	-0.227955	0.302136	-0.0122383	-0.808813	28.059	2949.53	-5.93581	2.94565
0.34	-0.0577955	0.0794366	0.0305451	0.161243	0.289137	0.0111653	-0.77217	24.8995	2948.88	5.79557	3.3267
0.36	-0.0614376	0.0848957	0.0302647	-0.21838	0.272959	-0.0140187	-0.71963	22.7531	2948.07	-5.93883	4.18086
0.38	-0.0585945	0.0899516	0.0305412	0.170716	0.252793	0.0138235	-0.664356	18.9051	2947.33	5.82897	3.62868
0.4	-0.0621177	0.0946685	0.0302273	-0.211257	0.235843	-0.015696	-0.607652	16.8732	2946.49	-5.94013	5.06523
0.42	-0.0591379	0.0988712	0.0305354	0.178907	0.210135	0.0154031	-0.53253	12.9223	2945.69	5.85388	3.88971
0.44	-0.0625714	0.102721	0.0301839	-0.205898	0.192473	-0.0175742	-0.477386	11.1838	2944.93	-5.93918	5.64883
0.46	-0.0594904	0.106005	0.0305393	0.184957	0.164227	0.0177694	-0.395222	7.92591	2944.1	5.87107	4.07699
0.48	-0.0628605	0.108979	0.0301582	-0.20212	0.148695	-0.0190536	-0.345951	6.76977	2943.45	-5.9359	5.99391
