# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	X	Y	T	V	drive_imp	wheel_imp
10.99	0.0185648	0.0457085	0.0660384	0.0120026	55.0695	-73.64	-0.0340454	0.000168085	-0.000143928	0.0293891	178.491	-0.1	0.1
11	0.0244491	0.0452603	0.0663331	0.58228	-0.0448138	0.02947	0.164287	-0.000639534	-0.000580179	0.0601068	178.412	0.1	0.1
11.01	0.0164813	0.043609	0.0674663	-0.805366	-0.165135	0.113325	0.281449	-0.00238958	-0.00131319	0.0515689	178.372	0.1	0
11.02	0.00377901	0.0423338	0.067964	-1.27878	-0.127519	0.0497714	0.289691	-0.00348772	-0.00124982	0.0678262	178.368	0.1	0
11.03	-0.0133601	0.0409424	0.068765	-1.71691	-0.139143	0.080099	0.147704	-0.00455706	-0.00115382	0.158831	178.335	0.1	0
11.04	-0.0345051	0.0397426	0.0695277	-2.11498	-0.119973	0.0762627	0.0928223	-0.00522969	-0.000899843	0.285356	178.313	0	-0.1
11.05	-0.0501722	0.0400906	0.0704465	-1.55547	0.0347979	0.0918828	-0.239095	-0.00423004	-0.000899219	0.227027	178.308	-0.1	0
11.06	-0.0510368	0.0412146	0.0706655	-0.0762076	0.112398	0.021898	-0.266055	-0.00297178	-0.00067129	0.102409	178.278	-0.1	0.1
11.07	-0.0385658	0.0421087	0.0708728	1.24673	0.0894107	0.0207365	-0.0370886	-0.00259175	-0.000932647	0.0655395	178.246	-0.1	0.1
11.08	-0.0215665	0.0423864	0.0711241	1.69141	0.0277668	0.0251234	0.15722	-0.00318651	-0.00157928	0.099418	178.218	-0.1	0.1
11.09	-0.000471701	0.0420838	0.0713452	2.09385	-0.0302516	0.0221081	0.323932	-0.00471799	-0.00256334	0.195928	178.215	0.1	0.1
11.1	0.00541419	0.0403618	0.0723028	0.570482	-0.172202	0.0957668	0.441726	-0.00734782	-0.00370038	0.104535	178.239	0.1	0
11.11	-0.00217204	0.0384881	0.072892	-0.778084	-0.187376	0.0589192	0.518907	-0.00955028	-0.00362667	0.0998042	178.229	0.1	0
11.12	-0.0148057	0.0364862	0.074091	-1.27464	-0.200184	0.119899	0.331249	-0.0116828	-0.00386772	0.163921	178.228	0.1	0
