# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	X	Y	T	V	drive_imp	wheel_imp
0.01	0.0325971	-2.16206e-06	0.0325976	1.79521e-07	-0.000216206	3.25976	0.000622112	-3.11054e-06	-3.32644e-07	0.0201075	178.704	-0.1	0.2
0.02	-0.0268942	-0.00209989	0.0326086	0.570291	-0.209773	0.0010971	0.513953	-0.00257288	-1.97461e-06	0.100397	178.665	-0.1	0.2
0.03	-0.0160311	-0.00631553	0.0326305	1.08633	-0.421564	0.00219308	1.03379	-0.0077348	1.7181e-05	0.382604	178.653	-0.1	0
0.04	0.0644624	-0.0106117	0.0327218	1.52986	-0.429614	0.00912212	1.04547	-0.0130087	-3.66244e-05	0.509639	178.656	-0.1	0
0.05	0.0836299	-0.0151173	0.0327509	1.91658	-0.450567	0.00291392	0.996365	-0.0185617	0.000125852	0.682972	178.657	-0.1	0
0.06	0.106579	-0.0196448	0.0327636	2.29467	-0.452743	0.00127368	1.10593	-0.0240956	0.000626916	0.907349	178.643	-0.1	-0.2
0.07	0.13284	-0.022176	0.0332871	2.62584	-0.253127	0.0523493	0.70019	-0.0271884	0.000993658	0.922839	178.627	-0.1	-0.2
0.08	0.162046	-0.0228329	0.0339609	2.92028	-0.0656897	0.0673745	0.257087	-0.0280018	0.00126133	1.08943	178.618	0	0
0.09	0.184176	-0.0238296	0.0329469	2.2128	-0.0996629	-0.101397	0.25447	-0.0291633	0.00218548	0.966679	178.597	-0.1	0
0.1	0.209568	-0.0249836	0.0335369	2.53896	-0.115403	0.0590023	0.384232	-0.0305223	0.00277829	1.27081	178.585	0	0
0.11	0.228619	-0.0265464	0.0337001	1.90477	-0.156281	0.0163145	0.374356	-0.0323116	0.00374696	1.18116	178.568	-0.1	0
0.12	0.251255	-0.0284866	0.0343136	2.26308	-0.194019	0.061357	0.363467	-0.0346514	0.00452556	1.51977	178.561	-0.1	-0.2
0.13	0.277368	-0.0284686	0.0348806	2.61121	0.00180081	0.0566922	0.00153202	-0.0345656	0.00495336	1.8294	178.567	0	0
0.14	0.29681	-0.0285528	0.0352799	1.94395	-0.00841804	0.039937	0.129419	-0.0345589	0.0053276	1.71628	178.578	0	0
0.15	0.31055	-0.0289474	0.035425	1.37376	-0.0394652	0.0145026	0.0821831	-0.034884	0.00589647	1.64851	178.586	-0.1	-0.2
0.16	0.328723	-0.0274114	0.0358549	1.81844	0.153601	0.0429902	-0.377947	-0.0329812	0.00567935	2.06389	178.596	0	-0.2
0.17	0.341342	-0.0240252	0.0360406	1.26463	0.33862	0.0185747	-0.835302	-0.0288721	0.00482686	2.15337	178.611	0	0
0.18	0.348931	-0.0207971	0.0362632	0.761532	0.322809	0.0222627	-0.746849	-0.0250002	0.00368964	2.09655	178.627	0	0.2
0.19	0.352	-0.019884	0.0362961	0.307799	0.0913106	0.00328645	-0.243385	-0.0238124	0.00340734	1.9295	178.635	-0.1	0
0.2	0.360299	-0.0190622	0.0364829	0.8306	0.0821792	0.0186767	-0.199458	-0.0227639	0.00310516	2.29609	178.637	-0.1	0
0.21	0.373369	-0.0183476	0.0364125	1.30767	0.071466	-0.00703335	-0.160445	-0.0217617	0.00312083	2.71484	178.635	-0.1	0
0.22	0.390723	-0.0176923	0.0369118	1.73566	0.065528	0.0499226	-0.084941	-0.0209432	0.0028035	3.17767	178.634	0	0
0.23	0.402434	-0.0172322	0.0368584	1.17146	0.0460058	-0.00533387	-0.0794105	-0.0202366	0.00284884	3.1109	178.634	-0.1	0
