# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	X	Y	T	V	drive_imp	wheel_imp
0.01	0.0325971	-2.16206e-06	0.0325976	1.79521e-07	-0.000216206	3.25976	0.000622112	-3.11054e-06	-3.32644e-07	0.0201075	178.704	-0.1	0.2
0.02	-0.0268942	-0.00209989	0.0326086	0.570291	-0.209773	0.0010971	0.513953	-0.00257288	-1.97461e-06	0.100397	178.665	-0.1	0.2
0.03	-0.0160311	-0.00631553	0.0326305	1.08633	-0.421564	0.00219308	1.03379	-0.0077348	1.7181e-05	0.382604	178.653	-0.1	0
0.04	0.0644624	-0.0106117	0.0327218	1.52986	-0.429614	0.00912212	1.04547	-0.0130087	-3.66244e-05	0.509639	178.656	-0.1	0
0.05	0.0836299	-0.0151173	0.0327509	1.91658	-0.450567	0.00291392	0.996365	-0.0185617	0.000125852	0.682972	178.657	-0.1	0
0.06	0.106579	-0.0196448	0.0327636	2.29467	-0.452743	0.00127368	1.10593	-0.0240956	0.000626916	0.907349	178.643	-0.1	-0.2
0.07	0.13284	-0.022176	0.0332871	2.62584	-0.253127	0.0523493	0.70019	-0.0271884	0.000993658	0.922839	178.627	-0.1	-0.2
0.08	0.162046	-0.0228329	0.0339609	2.92028	-0.0656897	0.0673745	0.257087	-0.0280018	0.00126133	1.08943	178.618	0	0
0.09	0.184176	-0.0238296	0.0329469	2.2128	-0.0996629	-0.101397	0.25447	-0.0291633	0.00218548	0.966679	178.597	-0.1	0
0.1	0.209568	-0.0249836	0.0335369	2.53896	-0.115403	0.0590023	0.384232	-0.0305223	0.00277829	1.27081	178.585	0	0
0.11	0.228619	-0.0265464	0.0337001	1.90477	-0.156281	0.0163145	0.374356	-0.0323116	0.00374696	1.18116	178.568	-0.1	0
0.12	0.251255	-0.0284866	0.0343136	2.26308	-0.194019	0.061357	0.363467	-0.0346514	0.00452556	1.51977	178.561	-0.1	-0.2
0.13	0.277368	-0.0284686	0.0348806	2.61121	0.00180081	0.0566922	0.00153202	-0.0345656	0.00495336	1.8294	178.567	0	0
0.14	0.29681	-0.0285528	0.0352799	1.94395	-0.00841804	0.039937	0.129419	-0.0345589	0.0053276	1.71628	178.578	0	-0.2
0.15	0.31059	-0.0268965	0.0355057	1.3791	0.165622	0.0225715	-0.407577	-0.0324795	0.00519525	1.69156	178.592	0	0
0.16	0.3192	-0.0253984	0.0357583	0.861996	0.149814	0.0252642	-0.338504	-0.0306208	0.00481802	1.64262	178.606	-0.1	0
0.17	0.332636	-0.0241527	0.035908	1.34462	0.124573	0.0149738	-0.313507	-0.0290598	0.00467578	1.99674	178.587	0	0
0.18	0.340925	-0.0232793	0.0361397	0.829708	0.0873337	0.0231694	-0.247919	-0.0279827	0.00445193	1.94513	178.571	-0.1	0
0.19	0.354054	-0.0227003	0.0361991	1.31342	0.0579067	0.00593364	-0.148572	-0.0272111	0.0044699	2.32782	178.573	-0.1	0
0.2	0.371285	-0.0224289	0.036571	1.72348	0.02714	0.0371944	-0.111292	-0.0268725	0.00452748	2.75899	178.586	0	-0.2
0.21	0.383066	-0.0203367	0.0367645	1.1802	0.209212	0.0193484	-0.517383	-0.0243621	0.00387611	2.76768	178.594	0	0
0.22	0.389789	-0.0185395	0.0369279	0.674218	0.179726	0.0163421	-0.444344	-0.0222447	0.00317366	2.71457	178.602	-0.1	0
0.23	0.401503	-0.0169737	0.0369441	1.17299	0.15658	0.0016138	-0.371348	-0.0203139	0.00279783	3.14676	178.611	0	0
