# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	T	V	drive_imp	wheel_imp
0.001	0.0325971	-2.13509e-08	0.0325976	1.77318e-08	-2.13509e-05	32.5976	6.14721e-05	0.000204228	178.75	0	0
0.002	0.0325591	-8.5095e-08	0.0325976	-0.0380198	-6.37441e-05	0	0.000171239	0.000100363	178.749	0	0
0.003	0.0325595	-1.98451e-07	0.0325976	0.000361464	-0.000113356	0	0.000297085	0.000106441	178.749	0	0
0.004	0.0325218	-3.58766e-07	0.0325976	-0.0376617	-0.000160315	0	0.000417246	2.04562e-05	178.749	0	0
0.005	0.0325225	-5.4351e-07	0.0325976	0.000716109	-0.000184744	0	0.0004851	0.000150998	178.749	0	0
0.006	0.0324852	-7.62193e-07	0.0325976	-0.0373104	-0.000218684	0	0.000575481	0.000122924	178.748	0	0
0.007	0.0324863	-1.02258e-06	0.0325976	0.00106401	-0.000260389	0	0.000684307	0.000192734	178.748	0	0
0.008	0.0324493	-1.32715e-06	0.0325976	-0.0369659	-0.000304571	0	0.000798697	9.85682e-05	178.747	0	0
0.009	0.0324507	-1.67246e-06	0.0325976	0.00140528	-0.000345307	0	0.000902554	0.00014387	178.747	0	0
0.01	0.0324141	-2.05811e-06	0.0325976	-0.0366279	-0.000385649	0	0.00100686	5.40638e-05	178.747	0	0
0.011	0.0324158	-2.4829e-06	0.0325976	0.00174009	-0.000424787	0	0.00110783	0.000109535	178.747	0	0
0.012	0.0323795	-2.94642e-06	0.0325976	-0.0362962	-0.000463519	0	0.00120829	3.24614e-05	178.746	0	0
0.013	0.0323816	-3.44973e-06	0.0325976	0.00206857	-0.000503312	0	0.00131173	9.4921e-05	178.746	0	0
0.014	0.0323456	-3.99252e-06	0.0325976	-0.0359709	-0.000542792	0	0.00141374	2.44995e-05	178.746	0	0
0.015	0.032348	-4.57332e-06	0.0325976	0.00239079	-0.000580806	0	0.00151236	8.91491e-05	178.746	0	0
0.016	0.0323124	-5.19222e-06	0.0325976	-0.0356517	-0.000618899	0	0.00161152	2.22085e-05	178.746	0	0
0.017	0.0323151	-5.85105e-06	0.0325976	0.00270699	-0.000658831	0	0.00171567	8.67996e-05	178.746	0	0
0.018	0.0322797	-6.54681e-06	0.0325976	-0.0353385	-0.000695757	0	0.0018106	2.17544e-05	178.746	0	0
0.019	0.0322828	-7.2831e-06	0.0325976	0.00301731	-0.000736285	0	0.00191709	8.54955e-05	178.746	0	0
0.02	0.0322477	-8.06034e-06	0.0325976	-0.035031	-0.000777249	0	0.00202426	2.18636e-05	178.746	0	0
0.021	0.0322511	-8.8777e-06	0.0325976	0.00332182	-0.000817354	0	0.00212728	8.44969e-05	178.746	0	0
0.022	0.0322163	-9.73517e-06	0.0325995	-0.0347296	-0.000857473	0.00182912	0.0022314	2.21398e-05	178.746	0	0
