# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	X	Y	T	V	drive_imp	wheel_imp
1.42	0.0326114	-0.00501427	0.0326817	0.001416	-0.00883744	-0.000918583	0.198845	-0.000994226	-3.07785e-05	0.118599	344.944	0.2	0
1.43	0.0322321	-0.00538016	0.0326433	-0.0379488	-0.0366529	0.00537361	0.238255	-0.00218274	-5.77041e-05	0.121858	344.846	0.2	0
1.44	0.0324306	-0.00603357	0.032605	0.0198491	-0.0654276	0.00593666	0.281359	-0.00359656	5.12241e-05	0.189752	344.679	0.2	0
1.45	0.0322557	-0.00706394	0.0328273	-0.0175376	-0.103055	-0.00461522	0.372002	-0.00541176	0.000223383	0.283895	344.48	0.2	0
1.46	-0.0327682	-0.0084233	0.0326324	0.0170022	-0.135602	0.00580596	0.426794	-0.00741267	0.000430252	0.322276	344.342	0.2	0
1.47	-0.0331278	-0.010128	0.0326689	-0.0359458	-0.170491	-0.00441291	0.399989	-0.00974439	0.000372696	0.427809	344.224	0.2	0
1.48	-0.0329892	-0.0118458	0.0335387	0.0140758	-0.171802	0.0338296	0.419661	-0.0119501	0.00100266	0.592341	344.063	0.2	-0.15
1.49	-0.0333192	-0.0125593	0.0352698	-0.0325064	-0.0714287	0.0754005	0.276656	-0.0128739	0.00215409	0.714415	343.891	0.2	-0.15
1.5	-0.033118	-0.0124507	0.0370327	0.0207117	0.0109192	0.0784493	0.17241	-0.0126963	0.00347732	0.825891	343.825	0.2	-0.15
1.51	-0.0334324	-0.0113861	0.0387862	-0.0315894	0.106284	0.0810376	-0.022206	-0.0112751	0.00473085	1.05958	343.739	0	-0.15
1.52	-0.0332315	-0.00959343	0.0398926	0.0178641	0.179415	0.0558068	-0.326458	-0.00890472	0.00523907	1.09102	343.652	0	0
1.53	-0.0336133	-0.00823682	0.0405375	-0.0417306	0.135375	0.0366801	-0.463976	-0.00704066	0.00529515	1.0621	343.576	0	0
1.54	-0.0333383	-0.00674411	0.0416188	0.0271969	0.149589	0.0502267	-0.031817	-0.00492251	0.00622288	1.05813	343.606	0	-0.15
1.55	-0.0335799	-0.00436996	0.0437408	-0.0267475	0.237195	0.101365	-0.25016	-0.00166476	0.00839303	1.21267	343.732	-0.2	-0.15
1.56	-0.0333337	-0.00100336	0.0446447	0.018923	0.336913	0.0488411	-0.487691	0.00283814	0.00940876	1.1025	343.869	0	0
1.57	-0.0337311	0.0017616	0.0458882	-0.0519343	0.275978	0.0717366	-0.959066	0.00662166	0.0102847	1.08985	344.021	-0.2	0
1.58	-0.0335913	0.00459782	0.045957	0.00222948	0.28374	0.0163466	-0.881554	0.0105241	0.0100032	0.890966	344.16	0	0.15
1.59	-0.0339591	0.0064252	0.0463947	-0.0441107	0.182227	0.0282421	-0.539052	0.0132258	0.0098104	0.725968	344.24	0	0
1.6	-0.0337723	0.00825665	0.0468335	0.0109381	0.183404	0.0284326	-0.550607	0.0159668	0.00971827	0.715194	344.267	0	0
1.61	-0.0341077	0.010138	0.0472088	-0.0417047	0.187631	0.0258097	-0.565191	0.0187867	0.00954053	0.719143	344.268	0	0
1.62	-0.0339276	0.0120722	0.0476326	0.00931934	0.193692	0.0281888	-0.584838	0.0217061	0.00946793	0.729692	344.262	0	0
1.63	-0.0342631	0.0141305	0.0480067	-0.0430956	0.205304	0.0266364	-0.626476	0.0248048	0.00930822	0.745908	344.262	0	0
1.64	-0.0340874	0.0161819	0.0485783	0.00760365	0.205443	0.0357883	-0.632355	0.0279212	0.00930698	0.756977	344.204	0	0
1.65	-0.0344423	0.0181639	0.0490219	-0.0476809	0.197644	0.0316819	-0.751944	0.0309451	0.0092064	0.772556	344.119	0	0
1.66	-0.0342842	0.0203905	0.0494976	0.00460947	0.222904	0.0319614	-0.670355	0.0343176	0.00906958	0.782414	344.06	-0.2	0
