# t	p	dpdt	w	dwdt	ctrl	T	V
0	-0.000404101	0	0	0	0	0	196.2
0.047456	-0.000420579	-0.000699147	1.16675e-05	0.00026444	0	4.187e-06	196.2
0.083715	-0.000456113	-0.00126861	2.12559e-05	0.00026444	0	1.47903e-05	196.2
0.117239	-0.00050818	-0.00184806	3.0121e-05	0.00026444	0	3.22369e-05	196.2
0.150831	-0.000581029	-0.00250389	3.9004e-05	0.00026444	0	6.00846e-05	196.2
0.184314	-0.000677186	-0.00325904	4.78583e-05	0.00026444	0	0.000102805	196.2
0.217993	-0.000801557	-0.0041517	5.67644e-05	0.00026444	0	0.000168013	196.2
0.25149	-0.000957793	-0.00520805	6.56223e-05	0.00026444	0	0.000265768	196.2
0.285138	-0.00115379	-0.00648158	7.45201e-05	0.00026444	0	0.000413291	196.2
0.31873	-0.00139649	-0.00801713	8.34032e-05	0.00026444	0	0.000634303	196.2
0.352409	-0.00169693	-0.0098845	9.23093e-05	0.00026444	0	0.000966617	196.2
0.385974	-0.00206545	-0.012148	0.000101185	0.00026444	0	0.00146294	196.2
0.41961	-0.00251901	-0.0149119	0.00011008	0.00026444	0	0.00220792	196.199
0.453288	-0.00307619	-0.0182893	0.000118986	0.00026444	0	0.00332569	196.199
0.486951	-0.00375895	-0.0224132	0.000127888	0.00026444	0	0.00499986	196.199
0.52067	-0.00459699	-0.0274629	0.000136804	0.00026444	0	0.0075131	196.198
0.554369	-0.00562297	-0.0336351	0.000145716	0.00026444	0	0.0112777	196.197
0.587843	-0.00687012	-0.0411296	0.000154567	0.00026444	0	0.0168729	196.195
0.62152	-0.00840525	-0.0503473	0.000163473	0.00026444	0	0.0252953	196.193
0.655112	-0.0102791	-0.061592	0.000172356	0.00026444	0	0.0378707	196.19
0.688618	-0.0125648	-0.0753019	0.00018985	0.00175864	0	0.0561757	196.185
0.722325	-0.0153776	-0.0921656	0.000411543	0.0134514	0	0.0800861	196.177
0.755985	-0.018815	-0.112762	0.00124815	0.0387611	0	0.110499	196.165
0.789524	-0.0230035	-0.137842	0.00319745	0.0805078	-10	0.14919	196.148
0.823219	-0.0243595	0.0570686	-0.0105259	-0.889107	0	0.26445	196.142
0.856814	-0.0229245	0.0286443	-0.0378129	-0.736403	0	0.222112	196.148
0.890241	-0.0224222	0.00151321	-0.0599528	-0.588633	0	0.18703	196.151
0.923759	-0.022825	-0.0256319	-0.077208	-0.440678	0	0.158548	196.149
0.957286	-0.0241524	-0.0538163	-0.089455	-0.288943	0	0.137062	196.143
0.990745	-0.0264521	-0.0841011	-0.0964864	-0.129702	0	0.123599	196.131
1.02421	-0.0298183	-0.117754	-0.0980333	0.026634	-10	0.12651	196.113
1.05781	-0.0306425	0.0685259	-0.112975	-0.910435	0	0.253412	196.108
1.09125	-0.0289521	0.032896	-0.140417	-0.73184	0	0.209138	196.118
1.12478	-0.0284276	-0.00150454	-0.162024	-0.557569	0	0.174363	196.121
1.15834	-0.0290551	-0.0360071	-0.177815	-0.38287	0	0.148711	196.117
1.19187	-0.0308585	-0.0719185	-0.187661	-0.203129	0	0.132823	196.107
1.22539	-0.0339089	-0.110693	-0.191321	-0.0130602	-10	0.128403	196.087
1.25902	-0.034578	0.0707565	-0.207145	-0.927553	0	0.260895	196.083
1.29259	-0.0328875	0.0303018	-0.234966	-0.731311	0	0.214739	196.094
1.32618	-0.0325304	-0.00896882	-0.256303	-0.539307	0	0.18011	196.096
1.35976	-0.0334934	-0.0485826	-0.27118	-0.346084	0	0.156695	196.09
1.39335	-0.0358161	-0.0901619	-0.279469	-0.145745	-10	0.145503	196.074
1.42703	-0.0358255	0.0896025	-0.299679	-1.05437	0	0.314065	196.074
1.4607	-0.0335183	0.0479102	-0.331769	-0.85351	0	0.260142	196.09
1.49434	-0.032578	0.00818611	-0.357208	-0.659803	0	0.218514	196.096
1.52796	-0.0329635	-0.0311943	-0.376162	-0.467355	0	0.188146	196.093
1.56146	-0.0346812	-0.0716801	-0.388553	-0.271096	-10	0.169483	196.082
1.59512	-0.0340421	0.109789	-0.413065	-1.18588	0	0.373526	196.086
1.62868	-0.0310222	0.0707907	-0.449622	-0.994946	0	0.312972	196.106
1.66223	-0.0292594	0.0346369	-0.479952	-0.814294	0	0.263918	196.116
1.69582	-0.0286824	-0.000159476	-0.504341	-0.638503	0	0.224635	196.119
1.72933	-0.0292676	-0.0348869	-0.522806	-0.463068	0	0.194701	196.116
1.76295	-0.0310441	-0.0711345	-0.535352	-0.281971	-10	0.174523	196.105
1.79659	-0.0303128	0.114776	-0.560484	-1.21302	0	0.384365	196.11
1.8303	-0.0270371	0.0802304	-0.598383	-1.03798	0	0.323954	196.128
