# t	p	dpdt	w	dwdt	ctrl	T	V
0	-0.000362574	0	0	0	0	0	196.2
0.0362189	-0.000371162	-0.000476083	7.80237e-06	0.000237266	0	1.84568e-06	196.2
0.0739	-0.000398773	-0.000995654	1.67428e-05	0.000237266	0	8.99929e-06	196.2
0.147439	-0.000513808	-0.00218344	3.41911e-05	0.000237266	0	4.56328e-05	196.2
0.187583	-0.000617273	-0.00299615	4.37159e-05	0.000237266	0	8.69563e-05	196.2
0.226735	-0.000752755	-0.00395644	5.30053e-05	0.000237266	0	0.00015281	196.2
0.260939	-0.000904926	-0.00497261	6.11207e-05	0.000237266	0	0.00024258	196.2
0.294288	-0.00109003	-0.00616517	6.90333e-05	0.000237266	0	0.000374273	196.2
0.332399	-0.00135564	-0.00783421	7.80757e-05	0.000237266	0	0.000606345	196.2
0.36596	-0.00164789	-0.00964101	8.60386e-05	0.000237266	0	0.000920372	196.2
0.399453	-0.00200633	-0.0118348	9.39853e-05	0.000237266	0	0.00138942	196.2
0.433066	-0.00244774	-0.0145183	0.000101961	0.000237266	0	0.00209405	196.199
0.466706	-0.00298944	-0.0177966	0.000109942	0.000237266	0	0.00315034	196.199
0.500451	-0.00365552	-0.0218155	0.000117949	0.000237266	0	0.00473849	196.199
0.533993	-0.00446642	-0.0266982	0.000125907	0.000237266	-20	0.00710264	196.198
0.567592	0.00209062	0.418335	-0.0365681	-2.18439	20	0.719183	196.2
0.60114	0.00873407	-0.0209174	-0.0719156	0.0703683	0	0.00121135	196.193
0.634693	0.00820488	-0.0107322	-0.0708101	-0.00242672	0	0.00125922	196.193
0.668417	0.00800885	-0.00093337	-0.0708919	-0.00242672	0	2.10106e-05	196.194
0.702067	0.00814085	0.00880549	-0.0709736	-0.00242672	0	0.000693134	196.193
0.735782	0.00860671	0.018924	-0.0710554	-0.00242672	0	0.00340073	196.193
0.769328	0.00942056	0.0297608	-0.0711368	-0.00242672	20	0.00857142	196.191
0.802871	0.00309207	-0.408399	-0.0350136	2.15616	-20	0.702583	196.199
0.836345	-0.00311318	0.0364054	-0.00099014	-0.114054	0	0.00379944	196.199
0.869966	-0.00194438	0.0333578	-0.00442342	-0.0918914	0	0.0035105	196.2
0.903522	-0.000856959	0.031673	-0.00727468	-0.0796387	0	0.00343049	196.2
0.937148	0.000197823	0.0312758	-0.0098777	-0.076579	0	0.00342686	196.2
0.970735	0.00125943	0.032153	-0.0124498	-0.076579	0	0.00371458	196.2
1.00445	0.00237654	0.0343498	-0.0150313	-0.076579	0	0.00450259	196.199
1.0382	0.00359269	0.0379605	-0.017616	-0.076579	20	0.00600754	196.199
1.07178	-0.00259475	-0.407694	0.0165352	2.11005	-20	0.669906	196.199
1.10529	-0.00889022	0.0306854	0.0494348	-0.133941	0	0.00284357	196.192
1.13888	-0.00803352	0.0204991	0.046201	-0.0598677	0	0.00126463	196.194
1.17237	-0.0075049	0.011172	0.0453291	0.00123502	0	0.00130417	196.194
1.20587	-0.00728008	0.00229616	0.0453705	0.00123502	0	6.49055e-05	196.195
1.23935	-0.00734989	-0.00648078	0.0454118	0.00123502	0	0.000388829	196.195
1.27292	-0.00771852	-0.0155489	0.0454533	0.00123502	0	0.00234172	196.194
1.3066	-0.00840375	-0.0252796	0.0454949	0.00123502	-20	0.00626653	196.193
1.3401	-0.00192117	0.413637	0.0093461	-2.15941	20	0.70279	196.2
1.3737	0.00448033	-0.031314	-0.0248555	0.117178	0	0.00268044	196.198
1.40731	0.00351226	-0.0265006	-0.02153	0.0821731	0	0.00202616	196.199
1.44082	0.00268935	-0.0227756	-0.0192503	0.055083	0	0.00183788	196.199
1.47439	0.00197419	-0.0199692	-0.0177611	0.034673	0	0.00187934	196.2
1.50811	0.00133687	-0.0179685	-0.0168532	0.0201226	0	0.00200507	196.2
1.54178	0.000754978	-0.0167058	-0.0163445	0.0109396	0	0.00212563	196.2
1.57532	0.000206271	-0.016128	-0.0160616	0.00673739	0	0.00219144	196.2
1.60884	-0.000333886	-0.0162047	-0.0158459	0.00638875	0	0.00223425	196.2
1.64237	-0.00088755	-0.0169386	-0.0156317	0.00638875	0	0.00245874	196.2
1.67594	-0.00147808	-0.018362	-0.0154172	0.00638875	0	0.00292484	196.2
1.70945	-0.00212747	-0.0205276	-0.0152032	0.00638875	0	0.00371168	196.2
1.74297	-0.00286343	-0.0235265	-0.014989	0.00638875	0	0.00495618	196.199
1.77666	-0.00372003	-0.0275014	-0.0147738	0.00638875	-20	0.00688294	196.199
1.81028	0.00283271	0.418668	-0.0513557	-2.18268	20	0.717821	196.199
1.84378	0.00950349	-0.0190525	-0.0867048	0.06558	0	0.000997755	196.191
1.87729	0.00905322	-0.00790747	-0.0858474	-0.00317011	0	0.000731075	196.192
1.91079	0.00896984	0.00291319	-0.0859536	-0.00317011	0	5.34552e-05	196.192
1.94445	0.00925188	0.0139032	-0.0860603	-0.00317011	0	0.00176223	196.192
1.97798	0.00990885	0.0254158	-0.0861666	-0.00317011	20	0.00614287	196.19
2.01156	0.00342885	-0.412708	-0.0500241	2.15587	-20	0.700598	196.199
2.04507	-0.00291364	0.0329052	-0.0160357	-0.117955	0	0.00295461	196.199
2.07863	-0.00186096	0.0300329	-0.0196184	-0.0970671	0	0.00254106	196.2
2.11212	-0.000886246	0.0283842	-0.022644	-0.0850769	0	0.00237822	196.2
2.14582	5.86057e-05	0.0278844	-0.0254262	-0.0814276	0	0.0023399	196.2
2.17932	0.00100045	0.0285204	-0.0281547	-0.0814276	0	0.0024915	196.2
2.2128	0.00198183	0.0303098	-0.0308805	-0.0814276	0	0.00296138	196.2
2.24636	0.00304611	0.0333338	-0.0336131	-0.0814276	0	0.00390107	196.199
2.27994	0.00423521	0.0377166	-0.0363478	-0.0814276	20	0.00558757	196.198
2.31343	-0.00190915	-0.405902	-0.00260448	2.09622	-20	0.660908	196.2
2.34714	-0.00812345	0.0358861	0.0297483	-0.163522	0	0.00411294	196.194
2.38059	-0.00707889	0.0267723	0.025412	-0.0972478	0	0.00195506	196.195
2.41423	-0.00631671	0.0186967	0.0231472	-0.0385211	0	0.00143099	196.196
2.44785	-0.00581267	0.011388	0.0226943	0.00139421	0	0.00136145	196.197
2.48138	-0.00554616	0.00456167	0.022741	0.00139421	0	0.000234597	196.197
2.51501	-0.0055049	-0.00209967	0.0227879	0.00139421	0	3.34458e-05	196.197
2.54845	-0.00568665	-0.00880718	0.0228345	0.00139421	0	0.000727618	196.197
2.58204	-0.00610029	-0.0159035	0.0228814	0.00139421	0	0.0024416	196.196
2.61555	-0.0067602	-0.0236251	0.0229281	0.00139421	-20	0.00545078	196.196
2.64909	-0.000167687	0.417989	-0.0134464	-2.16991	20	0.708838	196.2
2.68262	0.00641858	-0.0237228	-0.0481422	0.0933857	0	0.0015629	196.196
2.71624	0.00574642	-0.0163919	-0.045915	0.0400733	0	0.000942697	196.197
2.74986	0.00530881	-0.00973086	-0.0453753	-0.000996683	0	0.000986236	196.197
2.78345	0.00508781	-0.00347138	-0.0454087	-0.000996683	0	0.00013489	196.197
2.81709	0.00507414	0.00265587	-0.0454423	-0.000996683	0	6.04945e-05	196.197
2.85065	0.005267	0.00887625	-0.0454757	-0.000996683	0	0.000753037	196.197
2.88418	0.00567336	0.0154494	-0.0455091	-0.000996683	0	0.00232579	196.197
2.91778	0.00631166	0.0226676	-0.0455426	-0.000996683	20	0.0050484	196.196
2.95141	-0.000354752	-0.420542	-0.00895278	2.17741	-20	0.7134	196.2
2.98497	-0.00703691	0.0210405	0.0260314	-0.08623	0	0.0012595	196.195
3.01854	-0.00646899	0.0129168	0.0241426	-0.0271532	0	0.000671047	196.196
3.05208	-0.00616409	0.00532075	0.0239794	0.00336356	0	0.000360911	196.196
3.08569	-0.00610969	-0.00207246	0.0240925	0.00336356	0	2.12905e-05	196.196
3.11933	-0.00630463	-0.00955688	0.0242056	0.00336356	0	0.000790983	196.196
3.15286	-0.00675511	-0.0174047	0.0243184	0.00336356	0	0.00280129	196.196
3.18654	-0.00748355	-0.0259988	0.0244317	0.00336356	-20	0.0064158	196.195
3.22007	-0.000995173	0.414389	-0.0117728	-2.1631	20	0.705178	196.2
3.25366	0.00545091	-0.0292729	-0.0461689	0.108571	0	0.00233968	196.197
3.2872	0.0045731	-0.0232473	-0.0432838	0.0647511	0	0.00168926	196.198
3.3208	0.00387979	-0.0181563	-0.0417471	0.0277271	0	0.00170567	196.199
3.35426	0.0033466	-0.0138226	-0.0413527	-0.000788549	0	0.0019546	196.199
3.38775	0.00294833	-0.0100444	-0.0413791	-0.000788549	0	0.00104092	196.199
3.4213	0.00266892	-0.00666604	-0.0414056	-0.000788549	0	0.000465729	196.199
3.45494	0.00249767	-0.00355107	-0.0414321	-0.000788549	0	0.000137644	196.199
3.4886	0.00242839	-0.000578833	-0.0414587	-0.000788549	0	5.51823e-06	196.199
3.52221	0.0024583	0.00236486	-0.0414852	-0.000788549	0	4.88085e-05	196.199
3.55578	0.00258825	0.00540198	-0.0415116	-0.000788549	0	0.000275117	196.199
3.58936	0.00282351	0.00865887	-0.0415381	-0.000788549	0	0.000722791	196.199
3.62297	0.00317411	0.0122724	-0.0415646	-0.000788549	0	0.00146774	196.199
3.65648	0.00365231	0.0163714	-0.041591	-0.000788549	0	0.00262894	196.199
3.69	0.00427887	0.0211367	-0.0416175	-0.000788549	0	0.00440127	196.198
3.72355	0.00507971	0.0267641	-0.0416439	-0.000788549	20	0.00707907	196.197
3.75705	-0.00142297	-0.41625	-0.00522117	2.17491	-20	0.713046	196.2
3.79067	-0.00798061	0.0248008	0.0297503	-0.0877894	0	0.00168092	196.194
3.82431	-0.0073036	0.0155868	0.0279408	-0.0207857	0	0.00137122	196.195
3.85787	-0.00692537	0.00702825	0.0279721	0.00743643	0	0.000733434	196.195
3.89134	-0.00682853	-0.0012222	0.028221	0.00743643	0	8.99862e-06	196.195
3.92502	-0.00700973	-0.00957474	0.0284714	0.00743643	0	0.000662372	196.195
3.95867	-0.00747727	-0.0183104	0.0287216	0.00743643	0	0.00283848	196.195
3.99216	-0.00824601	-0.0277479	0.0289707	0.00743643	-20	0.00690454	196.193
4.02582	-0.00177748	0.413434	-0.00732553	-2.16412	20	0.706277	196.2
4.05938	0.00462135	-0.0308059	-0.0417006	0.109092	0	0.00259306	196.198
4.09284	0.00367691	-0.0258289	-0.0386786	0.0728969	0	0.00206265	196.199
4.12645	0.00287795	-0.0218807	-0.0367309	0.0441841	0	0.00199429	196.199
4.1601	0.00219552	-0.0188211	-0.0356354	0.0219328	0	0.00215572	196.2
4.19355	0.00160606	-0.0165419	-0.0351934	0.00535668	0	0.00239767	196.2
4.22708	0.00108016	-0.0149272	-0.0351648	-0.000450063	0	0.00225518	196.2
4.26065	0.000597686	-0.0139177	-0.0351799	-0.000450063	0	0.00196219	196.2
4.29426	0.000138869	-0.0134739	-0.035195	-0.000450063	0	0.00183983	196.2
4.32775	-0.000312643	-0.0135782	-0.0352036	0.000118027	0	0.00183728	196.2
4.36129	-0.000777383	-0.0142334	-0.0351996	0.000118027	0	0.00201919	196.2
4.39471	-0.00127195	-0.0154611	-0.0351957	0.000118027	0	0.00238317	196.2
4.42815	-0.00181808	-0.0173132	-0.0351917	0.000118027	0	0.00298929	196.2
4.46169	-0.00243973	-0.0198733	-0.0351878	0.000118027	0	0.00394012	196.199
4.4952	-0.00315959	-0.0232363	-0.0351838	0.000118027	0	0.0053883	196.199
4.52894	-0.00401376	-0.0275737	-0.0351798	0.000118027	-20	0.00759006	196.198
4.56259	0.00254598	0.418733	-0.0720314	-2.19006	20	0.723187	196.199
4.59615	0.00921192	-0.0201072	-0.107603	0.0634088	0	0.00115469	196.192
4.62981	0.00871882	-0.00929206	-0.106775	-0.00306149	0	0.000982365	196.193
4.66358	0.00858227	0.0011769	-0.106878	-0.00306149	0	4.59414e-06	196.193
4.69724	0.00879755	0.0116592	-0.106981	-0.00306149	0	0.00122174	196.192
4.73074	0.00936888	0.0225649	-0.107084	-0.00306149	20	0.0048206	196.191
4.76432	0.00277882	-0.416362	-0.0708814	2.15902	-20	0.701606	196.199
4.7979	-0.00369822	0.0292317	-0.0367442	-0.115892	0	0.00238117	196.199
4.83156	-0.00278306	0.0253211	-0.0401444	-0.0874527	0	0.00176041	196.199
4.86514	-0.0019837	0.0224523	-0.042711	-0.0665893	0	0.00149952	196.2
4.89871	-0.00126531	0.0204977	-0.0446899	-0.052374	0	0.00141604	196.2
4.93226	-0.000598663	0.0193768	-0.0462939	-0.0442221	0	0.00140265	196.2
